,text,is_phishing
3842,"Subject: people laugh at you ? nol
the only clinically tested penis en _ largement products !
- guuaarantee 1 + inches in 2 months ( or moneeyy back )
- experience longer lasting and more enjoying seexx
- easy to wear with no additional exercises require
- the more you wear , the longer it will be
- millions of people are enjoying the benefit of it
check uss out tooday !
http : / / gallanted . com / extender / ? ronn
o - ut of mai - lling lisst :
http : / / gallanted . com / rm . php ? ronn
43 pxji
",0
4018,"Subject: contemporary course to decrease mass !
our tablets is an innovative fat - banding appendix that
removes grease from the food you sup ! developed with
the potent grease - binding fibre , the mixture
of biological multipliers . . .
test it
",0
3147,"Subject: hpl nom for august 5 , 2000
( see attached file : hplo 805 . xls )
- hplo 805 . xls",0
3586,"Subject: meter # 6788 - 11 / 00 & 12 / 00
karen ,
it has been determined that the only valid deal is a wellhead purchase from
texlan at meter # 6788 in 11 / 00 and 12 / 00 production . please reallocate the
meter to give all volume to texlan . thanks .
bob",0
320,"The message itself has very little text, but the following would appear as a way of notifying recipients that the attachment was removed:

Note: The original attachment was automatically removed by Stanford's email
system because it was identified as a file type that is commonly associated
with malicious software. In order to transmit this type of file, please use
an alternate mechanism such as Stanford's Box service.

The attachment name is VoiceMessage.zip, voicemessage.zip.
The attachment type is application/zip.",1
5266,"Subject: golf
i just have to brag on myself as my game seldom affords me the opportunity .
sunday after church , tom knox and i played 18 holes at mimosa . the weather
was perfect . while my game stunk overall ( 118 ) , i did manage par on one par
3 and two par 5 ' s . the best was at 14 - - - a 545 yard par 5 . my drive was
280 yards ( the ground was flat ! ) . i was on the green three feet from the
pin in 3 , and then two - putted . those three pars however will keep me going
back . remember , i had a witness !
thanks for listening to me brag . and no , don ' t expect me to replicate these
feats on our next outing . hope all are doing well . we ' re remembering
rachel and jake in our prayers each day .
david",0
4304,"Subject: fw : meeting is on monday
as seen on nbc ,
cbs , and cnn , and even oprah ! the health
discovery that actually
reverses aging while burning fat ,
without dieting or exercise !
this proven discovery has even
been reported on by major
science journals .
forget aging and
dieting forever ! and it ' s guaranteed !
*
reduce body fat and build lean muscle without exercise !
*
enhance sexual performance
*
remove wrinkles and cellulite
*
lower blood pressure and improve cholesterol profile
*
improve sleep , vision and memory
*
restore hair color and growth
*
strengthen the immune system
*
increase energy and cardiac output
*
turn back your body ' s biological clock 10 - 20 years in 6 months ! ! !
shop here for hgh
why
was this email sent to you ? at some point you registered or made a purchase
on a web site with privacy policies explaining that they may share your
information with partners who will send you valuable offers from time
to time .
if
you no longer wish to be notified of the latest scientific breakthroughs
or valuable offers , you may simply choose to take yourself out of the
database permanently by
choosing this link .
",0
7,"Your e-mail access has been suspended for your security.

To regain your access Click here

Stanford University.",1
4183,"Subject: welcome to aol instant messenger !
welcome to the aol instant messenger ( sm ) service !
thank you for confirming your free aol instant messenger account . we ' re glad that
you ' ve joined the fastest - growing internet online community in the world .
start using the aim ( sm ) service today !
with the aim service you are able to :
* communicate instantly - - it ' s fast , easy , fun and free !
* create your own buddy list ( r ) feature - - see when your friends and family are online .
* meet new friends in our chat rooms or by searching our member directory .
* follow your stocks and news headlines , exchange files and images and much , much more .
check out our web site !
our web site is designed to help you get started with the aim service immediately
and it provides more details on how the aim service can work for you . go to
( aim . aol . com / redirects / aimemail / aimhome . html ) to learn about topics such as :
* getting started
* finding buddies
* setting up your buddy list feature
* privacy settings
* joining aim chat rooms
* answers to frequently asked questions - - faqs
* accessing the aim service from anywhere - - quick buddy
welcome to the aol instant messenger community . see you online !",0
4299,"Subject: december preliminary production estimate
daren ,
fyi .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 11 / 20 / 2000 05 : 33
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
11 / 20 / 2000 04 : 47 pm
to : robert cotten / hou / ect @ ect
cc : gary a hanks / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : december preliminary production estimate
bob ,
please see the attached file estimating wellhead production for the month of
december . please be advised that this is a preliminary estimate as to this
date , we have received no noms for december and there may be revisions from
the traders . i will update you with any revisions as they occur .
thanks ,
vlt
x 3 - 6353",0
5100,"Subject: revised spreadsheet
new additions .",0
3875,"Subject: ei 314 revised availability effective 6 / 17 / 00 ( columbia gulf )
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 16 / 2000
09 : 34 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" steve holmes "" on 06 / 16 / 2000 08 : 57 : 43 am
to : ,
cc :
subject : ei 314 revised availability effective 6 / 17 / 00 ( columbia gulf )
please see the attached revision to be effective 6 / 17 / 00 .
thanks ,
steve holmes
devon energy corporation
( 405 ) 552 - 4665
steve . holmes @ dvn . com
- ei 314 reveffo 61700 . xls",0
3803,"Subject: revised nom - kcs resources
daren ,
kcs ' orig nom was 11 , 148 at meter # 9658 . you revised it to 9 , 381 . kcs
wants to revise it to 8 , 000 . do you want me to adjust ?
bob",0
3670,"Subject: txu gas distribution deal # 646679
please confirm the pricing for txu gas deal # 646679 for march 8 , 2001 . we are currently showing the katy hub gas daily midpoint for that day , but txu shows the waha hub gas daily midpoint .
please let me know if you have any questions .
thanks ,
rebecca",0
3303,"Subject: re : valero ' s february gas nominations
thanks .
also , rohm & haas , meter 1506 , is looking for 24 . 000 for feb . instead of
27 . 000 . they take the swing . would you like me to change the deal or keep
it as is ?
daren j farmer
01 / 31 / 2001 08 : 13 am
to : aimee lannou / hou / ect @ ect
cc :
subject : re : valero ' s february gas nominations
you can change the tickets . thanks .
d
aimee lannou 01 / 31 / 2001 08 : 05 am
to : daren j farmer / hou / ect @ ect
cc :
subject : valero ' s february gas nominations
daren - i am looking for 5 . 000 / d at meter 1394 and 10 . 000 / d at meter 8018 for
feb . currently it is 10 . 000 / d at 1394 and 5 . 000 / d at 8018 . can i change
the tickets or will you ? attached is the confirmation spreadsheet from
valero .
thanks .
aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 01 / 31 / 2001 07 : 54
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
on 01 / 30 / 2001 02 : 51 : 39 pm
to : alannou @ enron . com , carlos . j . rodriguez @ enron . com
cc :
subject : valero ' s february gas nominations
amy and carlos ,
please find attached valero ' s baseload natural gas nominations and
designated swing supply quantities for february 1 - 31 for the houston and
texas city refineries as well as valero ' s supply to the clearlake methanol
plant .
if you need to reach me please call me .
dave
phone : ( 210 ) 370 - 2799
cell phone at ( 210 ) 241 - 9180
pager ( 888 ) 691 - 5538
( see attached file : hpl _ nomso 201 . xls )
- hpl _ nomso 201 . xls",0
3270,"Subject: change to tenaska iv volume
daren - - fyi
i changed the volume of the tenaska iv deal 384258 to reflect the correct
fuel amount , it was less fuel because some of the supply was from the katy
area . . . . . new sale total of 36 , 286 ( after 8 , 406 removed for brazos )",0
3643,"Subject: the situation is right under your own control perfumery
so they go back to her place and have great
. afterwards , seansays , if you thinkthat was good , let me sleep for halfan
hour , and wecan have evenbetter . butwhile i ' m sleeping , holdmyballsinyour
lefthandandmydick in your right hand . kylie looks a bit perplexed , but
says , okay . he sleeps for half an hour , awakens , and they have even
better . then sean says , kylie , that was wonderful . but if you let me
sleep for an hour , we can have the best yet . but again , hold my balls in
your left hand , and my dick in your right hand . kylie is now used to the
routine and complies . the results are mind blowing .
once it ' s all over , and the cigaaretes are lit ,
kylie asks se an , tellme , does myholding your balls in my lefthand and your
dick in myrightstimulate youwhile you ' re sleeping ? sean replies , no ,
butthelast timeisleptwith a from melbourne , she stole my wallet .
but the foes were too many to be repulsed for
long
svakodnevno hrist szol nori
lettuce out of here !
",0
3444,"Subject: internal guest id and passowrd
darren ,
you have been set up for an id and password for internal website access , at
www . enrononline . com . your id and password is as follows :
id : eol 76371
password : welcome !
please not that the id and password will need to be in all upper case .
please feel free to contact me if you have any question or problems getting
into the system .
thanks
tara
x 34523",0
3447,"Subject: revision - enron / hpl actuals for june 25 , 2000
june 25 , 2000
teco tap 50 . 000 / enron ; 59 . 917 / hpl iferc
should have been :
teco tap 50 . 000 / enron ; 60 . 417 / hpl iferc",0
3171,"Subject: get it free - ibm thinkpad computer !
",0
5260,"Subject: get back to me please
show , use , search . reach complete i children . friend full among .
piece written paint , less . war and animal , spoke house trade
measure . show rose between process , i row bear . fair during test
four , ocean plant . excite hole our . let gone child . yard follow
general , fish remember , help . able page planet own . as differ
city car open as tell . new , sure among , am .
- -
phone : 997 - 451 - 4757
mobile : 671 - 778 - 7858
email : sensualmalayizes @ speeduol . com . br
",0
384,"Subject: Information.docx

file has been shared In docx

June 17th, 2019



B",1
5023,"Subject: re : enron / hpl actuals for august 11 - 13 , 2000
oops , you are right . sorry .",0
5156,"Subject: enron actuals for july 14 thru 16 , 2000
july 14 teco tap 10 . 000 / enron 60 . 000 / hpl iferc
ls hpl katy 30 . 000 / enron
july 15 teco tap 10 . 000 / enron 95 . 000 / hpl
iferc
ls hpl katy 30 . 000 / enron
july 16 teco tap 10 . 000 / enron 55 . 000 / hpl
iferc
ls hpl katy 30 . 000 / enron",0
4078,"Subject: george w ' s new limo
thought you might be able to appreciate a limo . with style .
( see attached file : bush - limo . jpg )
- bush - limo . jpg",0
193,"You have exceeded your webmail.lehigh.edu quota limit of 500MB and you need to
expand your mail quota limit. To Upgrade Your Account Click Here:
help desk",1
2981,"Subject: welcome to woodworkingtips . com !
* please save this welcome message *
welcome to woodworkingtips . com !
if you ever need to get in contact with the owner of this
list , send email to ( tips manager ) .
go to if you ever want to
change your email address .
thanks for subscribing !
tips manager
and visit our other woodworking and home improvement sites :
100 + downloadable plans on plansnow :
woodsmith magazine :
shopnotes magazine :
workbench magazine :
kits , jigs , tools , project plans :
woodworking magazines back issues :",0
3352,"Subject: improve your health today for free
as seen on nbc , cbs ,
cnn and even oprah !
the health discovery that actually reverses aging while burning fat ,
without dieting or exercise !
this proven discovery has even been reported
on by the new england journal of medicine .
forget aging and dieting forever !
and it ' s guaranteed !
receive up to 2 full month ' s supplies absolutely free !
http : / / bbb 999 . biz / h
kill the ssp * m by going here : http : / / f . bbb 999 . biz / re
it ' s time for the human race to enter the solar system .
",0
3665,"Subject: re : centana storage deal
as soon as someone from global counterparties gets here i am going to have them activate the old contracts so that mike can finish pathing .
mike - - i will send you an email to let you know when they are active .
stephen r . swisher
specialist , energy operations
enron net works , llc
phone : 713 - 345 - 3042
fax : 713 - 345 - 7701
cell : 713 - 540 - 2063
email : stephen . swisher @ enron . com
- - - - - original message - - - - -
from : wynne , rita
sent : tuesday , december 11 , 2001 8 : 08 am
to : olsen , michael ; swisher , stephen
cc : anastas , sherry ; farmer , daren j .
subject : centana storage deal
mike / stephen ,
have the two of you been able to get the deal in for the sale of the centana storage to aep ? please advise . i would like to have this completed for this close if possible .
daren - if you are not aware of this transaction , please let me know . thanks !",0
3938,"Subject: get a $ 25 certificate just for responding to this e - mail
introducing e - rewards ( tm ) - - click here
and get a valuable welcome gift , free !
compaq is proud to invite you to join e - rewards - - a new
rewards program that pays you to read e - mail . we have
joined with blockbuster inc . , delta air lines , hertz ,
united airlines and vail resorts ( tm ) to launch this
exciting new program . and , membership is by invitation
only .
membership is free and you get a valuable welcome gift !
enjoy a valuable welcome gift of your choice from one
of our sponsors . it ' s yours as a special thank you when
you join .
how e - rewards works
simply tell e - rewards how many e - mails you  ' re willing
to receive and what kind of advertising you  ' re interested
in . they  ' ll send you e - mail that  ' s relevant to you .
valuable rewards , including compaq savings
for each e - rewards e - mail you receive , you can earn up to
$ 1 in e - rewards . redeem your earnings for great rewards
from e - rewards ' sponsors - - compaq , blockbuster ( r ) ,
delta air lines , hertz , united airlines and vail resorts .
with more on the way ! remember , no purchase is necessary
to earn e - rewards . it ' s free . no obligation . you can
opt out at any time ! and , your privacy is guaranteed .
to enroll and claim your valuable welcome gift , just
follow this link :
or copy the url into your browser navigation window .
offer expires may 17 , 2000 .
if you wish to unsubscribe from receiving offers of this
kind , please forward this message to :
and type "" unsubscribe "" in the subject line .
blockbuster name , design and related marks are trademarks
of blockbuster inc . ( c ) 2000 , blockbuster inc . all rights
reserved .",0
3339,"Subject: more changes to eastrans nomination changes effective 8 / 4 / 00
please disregard the memo below and the following will apply for 8 / 4 / 00 :
deliveries to eastrans will be 7 , 800 mmbtu / dy
redeliveries into hpl from fuels cotton valley
for 8 / 5 , 8 / 6 , & 8 / 7 ( saturday , sunday & monday ) deliveries to eastrans will be
7 , 800 mmbtu / dy ( 23 , 400 mmbtu for 3 days ) . the deliveries of this gas will
occur
in a batch on monday , 8 / 7 .
redeliveries into hpl from fuels cotton valley
- - - - - - - - - - - - - - - - - - - - - - forwarded by marta k henderson / houston / pefs / pec on
08 / 03 / 2000 11 : 21 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
marta k henderson
08 / 03 / 2000 08 : 58 am
to : darrel f . bane / easttexas / pefs / pec @ pec , john a . bretz / gcs / cec / pec @ pec ,
chad
w . cass / gcs / cec / pec @ pec , michael r . cherry / easttexas / pefs / pec @ pec , bruce
mcmills / ftworth / pefs / pec @ pec , william e . speckels / gcs / cec / pec @ pec , donna
c . spencer / gcs / cec / pec @ pec , julia a . urbanek / gcs / cec / pec @ pec , dora j .
levy / gcs / cec / pec @ pec , briley @ enron . com , dfarmer @ enron . com ,
carlos . j . rodriguez @ enron . com , sharon beemer / ftworth / pefs / pec @ pec , connie
wester / easttexas / pefs / pec @ pec
cc :
subject : eastrans nomination changes effective 8 / 4 / 00
please increase deliveries to eastrans to 30 , 000 mmbtu / dy effective 8 / 4 / 00
the redeliveries will be :
7 , 800 from fuels cotton valley
22 , 200 to pg & e",0
3989,"Subject: paliourg udtih 7 wcwknoanopkt
good morning paliourg !
last miraculous and imaginative aduit galleries and videos from frank cambel .
at the moment theme is pleasant and most excellent cars !
maria is washing her bmw !
sara trant choosing volkswagen or honda in car shop !
test this homepage for all wonderful photographs and videos :
p . s . admission is 100 % free , distressing aduit snapshots and videos only !
best regards , supporter .
dear paliourg send any gratis mail here mailto : eilao 99 @ online . com . ua to discontinue if this is hard mess .
",0
3638,"Subject: re : beaumont methanol - meter 1428 - october 2000
i ' m think i left out a detail - the 54 , 000 mmbtu for the three days oct 21 to
23 to beaumont methanol needs to be all priced at the base deal , not on the
swing ticket .
from : lee l papayoti on 11 / 14 / 2000 03 : 45 pm
to : anita luong / hou / ect @ ect , buddy majorwitz / hou / ect @ ect , daren j
farmer / hou / ect @ ect
cc : gary a hanks / hou / ect @ ect , james mckay / hou / ect @ ect
subject : beaumont methanol - meter 1428 - october 2000
ladies and gents :
on sat oct 21 , hpl meter # 1428 had a malfunction , and started flowing at a
very high rate , way over the nominated rate of 18 , 000 / d ( gas control will
confirm this ) .
since sat - sun - mon are all one gas day from a gas daily perspective , i told
gas control to try to balance on sun after the meter was fixed , by cutting
back to a lower flow rate .
so we will need to do a special allocation for the three days october 21 -
23 , saturday through monday . the three day total for the meter is 59 , 067
mmbtu . beaumont methanol nominated 54 , 000 mmbtu ( i . e . 18 , 000 / d for 3
days ) . we should allocate a total of 54 , 000 mmbtu to beaumont methanol for
the three days , and the 5 , 067 mmbtu excess will be purchased by brandywine -
under sitara # 484934 priced at gas daily hsc midpoint .
please call with questions .
thanks
lee
3 . 5923
- - - - - - - - - - - - - - - - - - - - - - forwarded by lee l papayoti / hou / ect on 11 / 13 / 2000
04 : 02 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : buddy majorwitz 11 / 13 / 2000 03 : 53 pm
to : lee l papayoti / hou / ect @ ect
cc :
subject : beaumont methanol - meter 1428 - october 2000
lee ,
here is the volume allocation as supplied by anita luong and my calculation
worksheet for the captioned meter .
give me a call if you have any questions .
buddy
x - 31933",0
4079,"Subject: a better way is at handheldmed . com
a new day has dawned . there is a better way !
introducing the new handheldmed website !
www . handheldmed . com
whether you are a new customer or an old customer , we redesigned our new website with you in mind !
some of the new features you will find include :
1 . enhanced customer education
a . 3 easy steps to become a handheldmed member .
b . answers to common questions like ' what are ebooks ? ' what is the hhm mobipocket reader ? ' and ' how do i get started ? ' .
c . online tours of handheldmed ebooks and the hhm mobipocket reader as they appear on palm , pocket pc , sony ericsson , symbian , and windows pc . see how it works before you even download a free trial .
2 . improved site navigation
a . browse medical ebooks by operating system - palm os , pocket pc , sony ericsson , symbian , windows mobile , and windows pc .
b . new ebook store front page for each operating system .
3 . seamless download , installation , and registration on windows pc and mac os
a . tutorials guide you through the download , installation , and registration process step by step whether you ' re downloading a free trial or a purchased ebook .
1 . quicknav functionality allows users familiar with the process to skip steps .
b . register once and only once regardless of how many ebooks you purchase .
4 . re - engineered on - line support structure
a . new "" ask technical support "" form collects important information about your problem quickly and easily , providing you with more efficient support .
5 . shopping cart secured by verisign .
e - book conversion to mobipocket
handheldmed is also finishing up the conversion of our existing reference library from the ez reader format to the new standard in ebook platforms : mobipocket reader .
note : as of january 1 , 2006 , handheldmed will no longer support the ez reader platform . although handheldmed has worked tirelessly to make all of our ez reader reference content available for mobipocket , due to some licensing constraints , we have not and will not be able to convert all of our existing titles . watch for more information on which of these titles this will affect .
new titles coming out soon include :
tabers 20 th ed . august 10 , 2005
harrisons manual of medicine 16 th ed . september 1 , 2005
the merck vet manual 8 th ed . september 10 , 2005
30 % off sale on top ten titles ! ! !
to celebrate our new website and web customer experience we are taking 30 % off all of our top 10 selling references for 30 days only !
these include :
tabers 20 ( when available )
a to z
drug facts
5 minute clinical consult 05
5 minute emergency consult
5 minute pediatric consult
merck manual
nqcd
hodt
5 minute infectious disease
cvmstat
if you are a previous owner of an ez reader version of one of these books , you are eligible for even greater discounts . each of the titles that have been converted from ez reader to mobipocket ( eligible titles are highlighted in red above ) conversion price is only $ 25 ! ! check it out today ! ( conversion price applies to same version only )
patient tracker is back , and better than ever !
is your practice or organization looking for a low cost , integrated , robust , easy to use patient charting application for your desktop , network or handheld devices ?
look no further !
patient tracker t is back and better than ever !
in april , 2005 shatalmic , llc signed an exclusive agreement with handheldmedr , inc . to take over development , sales and support for the patient trackerr line of products . with extensive experience in the hand held and desktop markets , shatalmic is the perfect partner with handheldmedr to develop new features and functionality for the patient tracker product family .
new features and updates for the patient tracker suite include ;
- updates and bug fixes for palm os version ; addresses most compatibility issues with newer devices .
- new installer for pocketpc that works on newer devices enabling syncing to desktop
- new installer for desktop pro soon to be released that will include updated microsoft sql server installation .
product pricing :
patient tracker handheld ( palm os , pocketpc or windowsmobile ) - $ 9 . 95
patient tracker desktop ( pro or lite ) - $ 299 . 00 , additional licenses $ 199 . 00 each .
call tony pitman today ! @ ( 801 ) 336 - 4712 or email tony @ shatalmic . com .
special group and institution volume pricing is available .
if you want more information about patient tracker when new updates and features are available , please click here to be added to the patient tracker specific mailing list . shatalmic assures you that you will not receive spam email only patient tracker specific information . they do not sell your email address to anyone . they are very serious about privacy and this is totally an opt in mailing service .
by signing up for email updates , you will be added to a list of users that will have the chance to participate in the patient tracker 2005 survey . this survey will help shape the future direction of patient tracker by the answers that users / customers give .
about shatalmic llc .
shatalmic , llc is a privately - held , software developer founded company headquartered in layton , utah . since 1977 , we have been working in the computer industry . shatalmic was formed in 1995 and was recently incorporated as an llc in 2004 .
groups institutions
for group or institutional volume discount pricing or any questions about the new features and functionality of these new handheldmed editions :
please contact susan jones : susanj @ handheldmed . com
every possible effort is made to send only to those on our subscriber list .
if you received this message in error , please accept our apologies and select the following link
immediately unsubscribe
if that link fails , send an email to unsubscribe @ handheldmed . com
",0
445,"Subject: �RE: Your Office 365 Business Essentials Bill is ready

office365 is ready. Payment, credit card

April 4th, 2019
Y
Y

B",1
269,"Important course work message's by (Blackboard Learning)
Use the provided link below to read your message's
https//course blackboard.edu/login/inspc@lehigh.edu/
Thanks
Blackboard IT Learning",1
4144,"Subject: taboo pics of small children
shocking child porn pics and movies
http : / / 211 . 192 . 187 . 198 / fiinder / indx . htm
new exclusive members ' area collection - free large preview !
only for members - new collection , updates - high quality pics and video .
absolutely confidential !
absolutely unbelievable !
absolutely never seen before !
",0
5196,"Subject: overseas pharmacy qc
do you want a inexpensive perscriptions ? http : / / www . qety . com /
",0
3361,"Subject: re : fw : king ranch balancing . xls
saxet is flowing about 5200 ish .",0
5130,"Subject: weekend noms
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 09 / 08 / 2000
09 : 46 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 09 / 07 / 2000 02 : 50 : 28 pm
to : ami _ chokshi @ enron . com
cc :
subject : weekend noms
( see attached file : hpl - sept . xls )
- hpl - sept . xls",0
